#This is a CSV file containing the average TPL, TPU, and Cost values for the UW algorithm with PS path compression.
#The data was generated for n = 1000 and delta = 2.
N,Average TPL,Average TPU
456,584.000000,128.150000
458,588.100000,130.250000
460,593.100000,133.250000
462,596.200000,134.350000
464,601.750000,137.900000
466,605.000000,139.200000
468,609.800000,142.000000
470,614.250000,144.450000
472,617.900000,146.150000
474,621.200000,147.450000
476,626.450000,150.700000
478,630.100000,152.400000
480,633.900000,154.300000
482,638.400000,156.800000
484,643.050000,159.500000
486,646.300000,160.850000
488,651.450000,164.100000
490,656.850000,167.500000
492,660.950000,169.600000
494,667.900000,174.600000
496,672.300000,177.000000
498,675.550000,178.250000
500,679.550000,180.250000
502,684.400000,183.100000
504,691.400000,188.150000
506,696.150000,190.900000
508,701.200000,193.950000
510,705.600000,196.400000
512,711.600000,200.400000
514,716.400000,203.300000
516,729.250000,214.150000
518,734.100000,217.000000
520,739.400000,220.300000
522,744.500000,223.450000
524,748.450000,225.400000
526,757.900000,232.950000
528,770.050000,243.100000
530,774.100000,245.150000
532,780.800000,249.850000
534,788.250000,255.400000
536,791.150000,256.400000
538,794.900000,258.200000
540,804.150000,265.550000
542,811.600000,271.050000
544,822.800000,280.300000
546,831.650000,287.200000
548,836.950000,290.500000
550,845.850000,297.550000
552,850.050000,299.850000
554,859.400000,307.350000
556,870.350000,316.350000
558,875.800000,320.000000
560,892.650000,334.850000
562,897.500000,337.800000
564,902.700000,341.150000
566,910.450000,346.950000
568,920.000000,354.500000
570,931.450000,364.000000
572,937.800000,368.350000
574,943.100000,371.750000
576,948.450000,375.100000
578,958.950000,383.650000
580,970.600000,393.400000
582,979.800000,400.700000
584,989.350000,408.250000
586,993.500000,410.550000
588,998.400000,413.850000
590,1010.750000,424.250000
592,1017.850000,429.450000
594,1022.250000,431.950000
596,1027.400000,435.350000
598,1032.150000,438.300000
600,1043.850000,448.200000
602,1053.450000,455.950000
604,1059.600000,460.250000
606,1062.350000,461.150000
608,1066.400000,463.400000
610,1074.700000,469.850000
612,1080.300000,473.750000
614,1090.500000,482.150000
616,1094.750000,484.900000
618,1100.050000,488.600000
620,1105.150000,491.850000
622,1114.100000,498.950000
624,1120.300000,503.350000
626,1124.850000,506.250000
628,1127.750000,507.500000
630,1135.200000,513.150000
632,1146.200000,522.300000
634,1153.700000,527.950000
636,1164.250000,536.800000
638,1168.000000,539.000000
640,1172.350000,541.450000
642,1177.150000,544.650000
644,1191.000000,556.750000
646,1193.650000,557.750000
648,1197.650000,560.050000
650,1203.300000,564.100000
652,1209.800000,568.850000
654,1213.900000,571.500000
656,1218.350000,574.200000
658,1223.900000,578.000000
660,1226.350000,578.900000
662,1229.400000,580.450000
664,1231.450000,580.800000
666,1235.650000,583.350000
668,1243.250000,589.200000
670,1246.000000,590.200000
672,1248.550000,591.050000
674,1251.650000,592.500000
676,1255.750000,595.000000
678,1258.200000,595.850000
680,1263.150000,599.350000
682,1266.600000,600.950000
684,1269.250000,602.050000
686,1274.250000,605.350000
688,1279.250000,608.800000
690,1283.450000,611.450000
692,1287.200000,613.600000
694,1290.650000,615.700000
696,1293.100000,616.700000
698,1294.750000,616.650000
700,1298.150000,618.850000
702,1300.600000,619.800000
704,1305.100000,622.850000
706,1307.750000,623.900000
708,1309.450000,624.250000
710,1314.550000,627.600000
712,1320.450000,632.000000
714,1325.050000,634.950000
716,1327.600000,636.000000
718,1329.400000,636.350000
720,1333.000000,638.550000
722,1335.400000,639.500000
724,1337.150000,639.800000
726,1342.800000,644.100000
728,1344.750000,644.550000
730,1348.600000,647.250000
732,1351.600000,648.850000
734,1354.500000,650.250000
736,1358.350000,652.400000
738,1361.800000,654.250000
740,1364.200000,655.250000
742,1365.750000,655.450000
744,1369.550000,658.050000
746,1372.800000,660.000000
748,1375.800000,661.700000
750,1378.650000,663.350000
752,1380.700000,664.100000
754,1381.750000,663.800000
756,1384.000000,664.950000
758,1386.400000,666.250000
760,1388.400000,666.900000
762,1389.350000,666.900000
764,1391.450000,667.650000
766,1393.400000,668.250000
768,1396.300000,669.850000
770,1397.900000,670.250000
772,1400.100000,671.400000
774,1401.800000,671.900000
776,1404.150000,672.950000
778,1406.350000,673.750000
780,1407.750000,674.050000
782,1409.150000,674.550000
784,1411.300000,675.500000
786,1412.700000,675.750000
788,1414.050000,675.750000
790,1415.800000,676.450000
792,1417.250000,676.650000
794,1418.450000,676.600000
796,1420.200000,676.900000
798,1421.850000,677.450000
800,1423.250000,677.700000
802,1427.450000,680.350000
804,1429.750000,681.350000
806,1429.550000,680.200000
808,1431.200000,680.900000
810,1432.050000,680.750000
812,1433.800000,681.250000
814,1437.150000,683.050000
816,1440.050000,684.450000
818,1442.250000,685.500000
820,1443.300000,685.600000
822,1443.300000,684.600000
824,1445.000000,685.200000
826,1446.250000,685.500000
828,1447.750000,685.800000
830,1448.700000,685.800000
832,1451.000000,686.950000
834,1452.050000,686.900000
836,1453.350000,687.050000
838,1455.100000,687.750000
840,1456.150000,687.900000
842,1457.600000,688.100000
844,1458.850000,688.250000
846,1460.800000,689.050000
848,1462.600000,689.900000
850,1463.250000,689.650000
852,1464.650000,690.150000
854,1465.400000,690.150000
856,1466.450000,690.200000
858,1468.050000,690.650000
860,1469.150000,690.700000
862,1470.500000,690.950000
864,1472.600000,691.950000
866,1472.950000,691.200000
868,1474.650000,691.850000
870,1476.450000,692.550000
872,1476.700000,691.900000
874,1478.750000,692.650000
876,1479.700000,692.550000
878,1481.550000,693.250000
880,1482.600000,693.150000
882,1483.050000,692.750000
884,1484.250000,692.950000
886,1485.650000,693.450000
888,1486.050000,692.950000
890,1487.050000,693.200000
892,1488.350000,693.250000
894,1489.150000,693.050000
896,1490.100000,693.000000
898,1491.600000,693.750000
900,1492.800000,694.100000
902,1493.600000,694.150000
904,1494.450000,694.100000
906,1495.600000,694.200000
908,1496.150000,694.050000
910,1497.800000,694.750000
912,1499.150000,694.950000
914,1499.850000,694.750000
916,1501.150000,695.000000
918,1501.700000,694.800000
920,1502.250000,694.450000
922,1503.150000,694.600000
924,1503.750000,694.350000
926,1505.100000,694.900000
928,1505.800000,694.700000
930,1506.500000,694.600000
932,1507.100000,694.450000
934,1507.900000,694.350000
936,1508.300000,694.200000
938,1509.050000,694.050000
940,1510.200000,694.500000
942,1511.650000,695.050000
944,1512.700000,695.250000
946,1513.150000,694.950000
948,1513.950000,694.900000
950,1513.900000,694.350000
952,1514.650000,694.450000
954,1515.050000,694.150000
956,1516.500000,694.550000
958,1516.950000,694.250000
960,1516.700000,693.500000
962,1517.500000,693.600000
964,1518.700000,693.950000
966,1518.950000,693.550000
968,1520.250000,693.950000
970,1521.450000,694.500000
972,1523.100000,694.950000
974,1523.750000,695.000000
976,1524.600000,694.900000
978,1525.250000,694.700000
980,1526.250000,694.700000
