#This is a CSV file containing the average TPL, TPU, and Cost values for the UR algorithm with PH path compression.
#The data was generated for n = 1000 and delta = 2.
N,Average TPL,Average TPU
456,622.050000,142.400000
458,626.250000,144.350000
460,631.650000,146.650000
462,634.700000,147.650000
464,640.450000,150.350000
466,643.950000,151.650000
468,648.700000,153.350000
470,656.600000,156.950000
472,660.250000,158.600000
474,663.700000,159.750000
476,669.200000,161.750000
478,673.700000,163.950000
480,674.350000,164.000000
482,682.950000,167.900000
484,687.800000,169.700000
486,689.950000,170.550000
488,698.150000,174.000000
490,709.350000,178.950000
492,715.800000,182.150000
494,725.500000,186.500000
496,730.450000,188.350000
498,735.750000,190.950000
500,744.300000,194.400000
502,752.900000,198.150000
504,763.350000,203.350000
506,771.550000,206.850000
508,771.800000,207.250000
510,778.500000,209.850000
512,788.650000,214.600000
514,801.350000,220.800000
516,827.200000,233.600000
518,834.400000,237.200000
520,840.700000,240.350000
522,845.450000,242.650000
524,848.950000,243.900000
526,863.900000,250.500000
528,876.000000,256.450000
530,878.700000,257.400000
532,885.450000,260.000000
534,903.750000,269.200000
536,906.400000,269.850000
538,909.900000,271.300000
540,920.650000,276.500000
542,936.450000,283.600000
544,961.250000,295.500000
546,989.400000,309.400000
548,999.900000,314.350000
550,1012.400000,320.450000
552,1013.200000,320.600000
554,1030.350000,328.850000
556,1045.150000,335.800000
558,1096.600000,361.800000
560,1149.950000,388.150000
562,1170.750000,397.500000
564,1190.350000,407.400000
566,1201.350000,412.950000
568,1232.850000,428.500000
570,1266.250000,445.050000
572,1252.400000,438.050000
574,1271.550000,447.750000
576,1262.750000,442.200000
578,1273.900000,448.350000
580,1315.400000,468.900000
582,1336.450000,480.250000
584,1332.900000,478.550000
586,1353.550000,486.750000
588,1353.150000,485.850000
590,1461.000000,540.450000
592,1495.900000,556.750000
594,1478.350000,547.550000
596,1543.100000,580.300000
598,1554.100000,584.250000
600,1611.000000,611.700000
602,1654.550000,634.450000
604,1681.550000,648.600000
606,1702.500000,659.950000
608,1759.250000,688.550000
610,1781.500000,700.300000
612,1784.450000,699.900000
614,1804.300000,710.000000
616,1832.950000,726.250000
618,1906.500000,760.700000
620,1979.900000,798.100000
622,1972.850000,793.750000
624,1966.650000,790.850000
626,1962.900000,788.700000
628,2017.450000,813.400000
630,2111.600000,863.250000
632,2166.650000,891.100000
634,2129.600000,870.700000
636,2178.150000,894.900000
638,2201.000000,905.200000
640,2259.300000,935.650000
642,2269.150000,941.000000
644,2288.900000,950.650000
646,2228.650000,917.900000
648,2243.450000,928.800000
650,2330.200000,972.600000
652,2456.400000,1034.000000
654,2462.600000,1037.200000
656,2620.000000,1113.350000
658,2631.750000,1122.200000
660,2582.300000,1098.550000
662,2614.200000,1110.950000
664,2641.650000,1123.600000
666,2618.900000,1110.500000
668,2697.600000,1152.000000
670,2632.300000,1118.500000
672,2680.750000,1142.050000
674,2679.100000,1143.300000
676,2678.700000,1142.900000
678,2752.250000,1179.900000
680,2771.100000,1187.650000
682,2939.700000,1273.950000
684,2763.250000,1183.050000
686,2830.350000,1216.350000
688,2707.550000,1155.200000
690,2811.750000,1207.750000
692,2885.450000,1245.550000
694,2927.650000,1264.050000
696,3023.200000,1314.250000
698,2921.800000,1260.300000
700,2950.850000,1277.700000
702,3033.800000,1314.100000
704,3058.450000,1329.550000
706,2941.900000,1271.250000
708,3036.900000,1319.000000
710,3204.900000,1404.000000
712,3076.300000,1336.400000
714,3106.050000,1355.400000
716,3203.300000,1399.550000
718,3104.600000,1351.750000
720,3120.650000,1360.500000
722,3205.500000,1403.050000
724,3197.050000,1399.650000
726,3203.950000,1401.650000
728,3275.250000,1436.100000
730,3360.100000,1478.450000
732,3373.300000,1485.850000
734,3361.600000,1477.750000
736,3426.250000,1509.400000
738,3422.450000,1510.350000
740,3364.300000,1481.850000
742,3565.850000,1583.150000
744,3661.400000,1627.050000
746,3408.000000,1500.750000
748,3451.950000,1523.750000
750,3509.500000,1551.100000
752,3531.550000,1564.950000
754,3481.300000,1538.250000
756,3500.800000,1549.600000
758,3436.600000,1518.000000
760,3527.250000,1559.050000
762,3463.550000,1527.050000
764,3580.050000,1586.400000
766,3736.100000,1664.450000
768,3672.950000,1629.700000
770,3663.800000,1625.250000
772,3678.250000,1638.350000
774,3713.600000,1650.400000
776,3740.200000,1664.200000
778,3707.350000,1645.150000
780,3735.450000,1663.250000
782,3766.900000,1676.950000
784,3848.300000,1717.650000
786,3833.150000,1714.650000
788,3823.700000,1705.600000
790,3758.800000,1673.250000
792,3892.850000,1741.250000
794,4106.050000,1848.000000
796,4113.500000,1851.800000
798,3950.650000,1766.600000
800,3966.000000,1776.100000
802,4159.550000,1872.350000
804,3980.650000,1782.350000
806,3870.950000,1725.300000
808,3821.350000,1704.200000
810,3838.550000,1710.950000
812,3898.900000,1740.450000
814,3996.600000,1792.100000
816,3926.350000,1755.800000
818,3825.700000,1706.700000
820,3964.800000,1773.800000
822,4062.300000,1822.050000
824,4018.000000,1799.200000
826,3961.450000,1774.900000
828,3997.800000,1789.350000
830,3990.700000,1787.200000
832,4158.400000,1873.750000
834,3965.500000,1775.000000
836,4073.850000,1826.000000
838,4139.200000,1856.700000
840,4000.600000,1789.400000
842,4237.750000,1910.150000
844,4140.500000,1861.000000
846,4056.000000,1818.700000
848,4040.450000,1812.200000
850,3930.500000,1754.250000
852,4069.200000,1825.350000
854,4042.650000,1811.550000
856,4091.350000,1836.200000
858,4135.500000,1854.650000
860,4060.600000,1815.350000
862,4125.650000,1852.900000
864,4257.200000,1921.550000
866,4235.000000,1905.800000
868,4304.850000,1941.800000
870,4221.400000,1902.200000
872,4136.450000,1857.750000
874,4293.500000,1937.000000
876,4282.500000,1927.100000
878,4313.050000,1943.350000
880,4433.750000,2005.650000
882,4234.800000,1901.350000
884,4260.050000,1918.750000
886,4304.450000,1940.900000
888,4260.600000,1920.950000
890,4248.200000,1912.150000
892,4426.700000,2000.300000
894,4320.500000,1943.850000
896,4356.000000,1966.100000
898,4230.000000,1902.100000
900,4178.550000,1879.000000
902,4146.300000,1861.450000
904,4244.150000,1906.750000
906,4413.700000,1994.300000
908,4231.200000,1900.900000
910,4336.900000,1953.200000
912,4514.100000,2042.250000
914,4422.800000,2000.000000
916,4446.750000,2008.500000
918,4433.900000,2001.400000
920,4326.100000,1953.650000
922,4361.550000,1964.500000
924,4432.050000,1998.550000
926,4508.900000,2038.350000
928,4371.850000,1972.300000
930,4364.050000,1965.900000
932,4431.450000,2002.500000
934,4470.950000,2020.150000
936,4163.650000,1863.700000
938,4464.800000,2017.800000
940,4369.350000,1965.050000
942,4468.550000,2016.750000
944,4486.100000,2024.950000
946,4377.950000,1974.350000
948,4433.800000,1998.300000
950,4308.300000,1939.250000
952,4387.300000,1978.050000
954,4488.600000,2029.050000
956,4642.300000,2107.300000
958,4538.050000,2053.600000
960,4394.500000,1980.350000
962,4352.750000,1959.600000
964,4395.150000,1982.100000
966,4351.800000,1959.650000
968,4580.150000,2071.100000
970,4625.900000,2094.200000
972,4795.450000,2179.500000
974,4493.900000,2026.050000
976,4643.600000,2102.800000
978,4499.750000,2031.700000
980,4661.100000,2112.100000
982,4628.050000,2098.800000
984,4563.400000,2063.400000
986,4501.900000,2031.300000
988,4567.800000,2063.700000
990,4518.000000,2038.950000
992,4537.750000,2050.100000
994,4573.450000,2068.600000
996,4524.100000,2040.000000
998,4406.800000,1985.350000
