#This is a CSV file containing the average TPL, TPU, and Cost values for the QU algorithm with PS path compression.
#The data was generated for n = 1000 and delta = 2.
N,Average TPL,Average TPU
518,1323.050000,805.950000
520,1344.950000,825.850000
522,1346.200000,825.150000
524,1354.150000,831.100000
526,1397.700000,872.750000
528,1430.250000,903.300000
530,1436.250000,907.300000
532,1450.650000,919.700000
534,1461.250000,928.400000
536,1476.850000,942.100000
538,1482.950000,946.250000
540,1514.650000,976.050000
542,1541.400000,1000.850000
544,1559.750000,1017.250000
546,1584.850000,1040.400000
548,1627.500000,1081.050000
550,1648.150000,1099.850000
552,1638.900000,1088.700000
554,1658.300000,1106.250000
556,1671.750000,1117.750000
558,1667.350000,1111.550000
560,1703.100000,1145.300000
562,1746.050000,1186.350000
564,1764.600000,1203.050000
566,1806.200000,1242.700000
568,1820.700000,1255.200000
570,1871.950000,1304.500000
572,1909.400000,1339.950000
574,1928.450000,1357.100000
576,1959.000000,1385.650000
578,2003.300000,1428.000000
580,2080.850000,1503.650000
582,2121.350000,1542.250000
584,2133.950000,1552.850000
586,2135.050000,1552.100000
588,2107.200000,1522.650000
590,2212.150000,1625.650000
592,2207.100000,1618.700000
594,2208.050000,1617.750000
596,2271.900000,1679.850000
598,2243.200000,1649.350000
600,2291.150000,1695.500000
602,2299.000000,1701.500000
604,2352.900000,1753.550000
606,2304.200000,1703.000000
608,2384.950000,1781.950000
610,2407.900000,1803.050000
612,2389.200000,1782.650000
614,2379.950000,1771.600000
616,2345.000000,1735.150000
618,2373.850000,1762.400000
620,2426.900000,1813.600000
622,2455.950000,1840.800000
624,2481.150000,1864.200000
626,2472.050000,1853.450000
628,2490.150000,1869.900000
630,2541.100000,1919.050000
632,2616.800000,1992.900000
634,2588.000000,1962.250000
636,2616.850000,1989.400000
638,2570.450000,1941.450000
640,2715.500000,2084.600000
642,2692.700000,2060.200000
644,2738.500000,2104.250000
646,2681.250000,2045.350000
648,2760.550000,2122.950000
650,2790.250000,2151.050000
652,2888.200000,2247.250000
654,2818.850000,2176.450000
656,2854.250000,2210.100000
658,2923.400000,2277.500000
660,2835.550000,2188.100000
662,2876.150000,2227.200000
664,2921.900000,2271.250000
666,2921.700000,2269.400000
668,3037.600000,2383.550000
670,3089.950000,2434.150000
672,3101.450000,2443.950000
674,3035.750000,2376.600000
676,3052.350000,2391.600000
678,3135.600000,2473.250000
680,3073.650000,2409.850000
682,3167.500000,2501.850000
684,3050.200000,2383.000000
686,3174.300000,2505.400000
688,3079.800000,2409.350000
690,3094.000000,2422.000000
692,3147.600000,2474.000000
694,3067.900000,2392.950000
696,3117.300000,2440.900000
698,3040.700000,2362.600000
700,3056.150000,2376.850000
702,3013.550000,2332.750000
704,3184.250000,2502.000000
706,3213.350000,2529.500000
708,3165.500000,2480.300000
710,3329.950000,2643.000000
712,3378.550000,2690.100000
714,3438.050000,2747.950000
716,3459.400000,2767.800000
718,3437.650000,2744.600000
