# This is a CSV file containing the TPL, TPU, UF and Compression for the Union-Find data structure.
# The data was generated for n = 1000 and delta = 5 .
N,TPL,TPU,UF,Compression
1220,98588,0,QU,NC
1225,98589,0,QU,NC
1230,98589,0,QU,NC
1235,98593,0,QU,NC
1240,99479,0,QU,NC
1245,99480,0,QU,NC
1250,100368,0,QU,NC
1255,101258,0,QU,NC
1260,102151,0,QU,NC
1265,103048,0,QU,NC
1270,103049,0,QU,NC
1275,103948,0,QU,NC
1280,104850,0,QU,NC
1285,105754,0,QU,NC
1290,106661,0,QU,NC
1295,106662,0,QU,NC
1300,106663,0,QU,NC
1305,107573,0,QU,NC
1310,108484,0,QU,NC
1315,110315,0,QU,NC
1320,110316,0,QU,NC
1325,110316,0,QU,NC
1330,110316,0,QU,NC
1335,110316,0,QU,NC
1340,110316,0,QU,NC
1345,110316,0,QU,NC
1350,110316,0,QU,NC
1355,110316,0,QU,NC
1360,110316,0,QU,NC
1365,110318,0,QU,NC
1370,110318,0,QU,NC
1375,110318,0,QU,NC
1380,111239,0,QU,NC
1385,111239,0,QU,NC
1390,111239,0,QU,NC
1395,111240,0,QU,NC
1400,111241,0,QU,NC
1405,112167,0,QU,NC
1410,112168,0,QU,NC
1415,112169,0,QU,NC
1420,112169,0,QU,NC
1425,112169,0,QU,NC
1430,113098,0,QU,NC
1435,114028,0,QU,NC
1440,114959,0,QU,NC
1445,114960,0,QU,NC
1450,114960,0,QU,NC
1455,114961,0,QU,NC
1460,114961,0,QU,NC
1465,115896,0,QU,NC
1470,115896,0,QU,NC
1475,115896,0,QU,NC
1480,115897,0,QU,NC
1485,115897,0,QU,NC
1490,115897,0,QU,NC
1495,116838,0,QU,NC
1500,116838,0,QU,NC
1505,116840,0,QU,NC
1510,116840,0,QU,NC
1515,116840,0,QU,NC
1520,116841,0,QU,NC
1525,117786,0,QU,NC
1530,117786,0,QU,NC
1535,117787,0,QU,NC
1540,117787,0,QU,NC
1545,117787,0,QU,NC
1550,118733,0,QU,NC
1555,118734,0,QU,NC
1560,118734,0,QU,NC
1565,118734,0,QU,NC
1570,118734,0,QU,NC
1575,118734,0,QU,NC
1580,118734,0,QU,NC
1585,118734,0,QU,NC
1590,118737,0,QU,NC
1595,118737,0,QU,NC
1600,118737,0,QU,NC
1605,118737,0,QU,NC
1610,118737,0,QU,NC
1615,119688,0,QU,NC
1620,119688,0,QU,NC
1625,119689,0,QU,NC
1630,119689,0,QU,NC
1635,119689,0,QU,NC
1640,119689,0,QU,NC
1645,119689,0,QU,NC
1650,119690,0,QU,NC
1655,121602,0,QU,NC
1660,123519,0,QU,NC
